pixel_no,pixel_x,pixel_y,latitude,longitude,C12_real_mean,C12_real_sigma,C11_mean,C11_sigma,C12_imag_mean,C12_imag_sigma,C22_mean,C22_sigma
1,493,0,12.2658935401989,76.2177132077499,19.027765,886.50024,14121.303,2681.7886,862.06946,201.2268,5033.775,830.20435
2,493,1,12.2657691959118,76.2176880212436,-365.91855,918.38245,15828.298,4056.8674,670.2537,351.47964,4889.976,739.6544
3,493,2,12.2656448516246,76.2176628347374,-1067.7556,753.6467,17985.633,3536.9775,235.77592,581.30975,4921.1187,534.8071
4,493,3,12.2655205073374,76.2176376482312,-1266.8667,690.026,19028.32,3166.0374,-268.4648,631.792,5042.963,494.5821
5,493,4,12.2653961630502,76.217612461725,-989.32776,910.6905,19735.879,3073.0547,-665.2389,610.0564,4828.5146,771.31744
6,493,5,12.265271818763,76.2175872752187,-403.47223,841.57477,20565.406,3431.3281,-1277.5537,1213.3292,4530.7017,792.1427
7,493,6,12.2651474744758,76.2175620887125,-6.3425922,472.50046,21988,2406.829,-2022.2556,1369.5901,4187.311,407.2316
8,493,7,12.2650231301886,76.2175369022063,123.73334,286.03824,21900.654,1788.6687,-2426.6963,1208.2554,4248.813,409.86456
9,493,8,12.2648987859014,76.2175117157,154.35742,364.25824,20957.523,2079.0625,-2358.0222,1001.12616,4248.676,644.80884
10,493,9,12.2647744416142,76.2174865291938,489.18704,673.6055,19950.805,2066.8882,-1835.1981,1053.6323,4327.2095,826.09784
11,493,10,12.264650097327,76.2174613426876,1162.9019,1025.5251,18791.914,2149.2588,-1514.0648,889.6053,4532.065,831.7305
12,493,11,12.2645257530398,76.2174361561813,1590.7334,1208.1567,18349.69,2028.0149,-999.18335,808.94165,4723.0947,627.1457
13,493,12,12.2644014087526,76.2174109696751,1871.0315,1146.8634,17658.396,1251.0963,-644.3129,509.91675,4754.6724,453.41837
14,493,13,12.2642770644654,76.2173857831688,1797.7296,1172.797,17410.22,976.7659,-581.4778,466.19147,4496.4556,570.24243
15,493,14,12.2641527201783,76.2173605966626,1655.7648,862.50836,17011.334,906.7212,-856.75183,444.11377,3955.574,837.3778
16,493,15,12.2640283758911,76.2173354101563,1062.6296,1030.8678,15909.99,1707.3287,-1033.476,345.6067,3087.9258,899.56805
17,493,16,12.2639040316039,76.2173102236501,325.26297,789.9612,14250,2338.3765,-876.89813,420.3571,2515.187,543.13477
18,493,17,12.2637796873167,76.2172850371438,-271.6463,438.87866,12417.58,1486.5928,-459.92963,516.61127,2438.9963,408.46365
19,493,18,12.2636553430295,76.2172598506375,-431.6,291.83627,11823.593,939.0008,-255.77222,334.68216,2519.1296,365.28824
20,493,19,12.2635309987423,76.2172346641313,-610.08887,393.90692,11626.056,992.0253,-91.35371,334.993,2749.7925,363.58722
21,493,20,12.2634066544551,76.217209477625,-709.3555,409.90396,11824.349,958.41345,-83.56852,308.77957,3047.0444,696.83484
22,493,21,12.2632823101679,76.2171842911187,-893.10187,285.21875,12412.657,1529.8438,56.588886,269.12735,3768.9277,810.7824
23,493,22,12.2631579658807,76.2171591046124,-857.4056,282.48114,13617.889,1925.4255,-94.73889,338.90396,4304.6924,597.8879
24,493,23,12.2630336215935,76.2171339181062,-809.95,308.21912,14900.959,1977.8655,-163.12038,292.7244,4590.88,418.0594
25,493,24,12.2629092773063,76.2171087315999,-810.49634,340.44385,16778.047,2842.357,-544.8778,811.26276,4691.246,406.19434
26,493,25,12.2627849330191,76.2170835450936,-1009.1056,424.75296,19902.055,4561.2026,-718.8185,1114.4447,4676.45,557.5098
27,493,26,12.2626605887319,76.2170583585873,-905.41113,613.815,23390.98,5114.7114,-1155.4259,1229.3295,4692.6035,827.3007
28,493,27,12.2625362444448,76.217033172081,-865.6685,627.32196,24946.805,5218.455,-1010.50366,1314.804,4479.052,918.60333
29,493,28,12.2624119001576,76.2170079855747,-824.85187,621.6875,24454.234,5248.222,-876.6111,1234.918,4273.3647,919.0759
30,493,29,12.2622875558704,76.2169827990684,-869.6963,467.5759,22719.805,4008.2388,-725.1852,1124.3894,4217.402,692.5587
31,493,30,12.2621632115832,76.2169576125622,-696.2407,566.5677,21020.676,2929.475,-761.3204,1081.0946,4305.6113,794.47406
32,493,31,12.262038867296,76.2169324260559,-547.7222,433.8233,18850.084,2509.312,-494.2926,1259.943,4729.191,1037.7826
33,493,32,12.2619145230088,76.2169072395496,-675.5945,508.0229,16480.408,2636.7627,-0.5611064,1136.0095,5008.0684,1021.1418
34,493,33,12.2617901787216,76.2168820530432,-834.6556,369.35648,14600.028,1648.8911,266.29816,770.80115,5101.948,804.3931
35,493,34,12.2616658344344,76.2168568665369,-838.80554,262.30432,13929.413,1405.4344,262.90558,426.33633,4974.094,479.80008
36,493,35,12.2615414901472,76.2168316800307,-858.08887,311.11154,13849.13,1913.43,114.23704,547.333,4621.6665,455.01572
37,493,36,12.26141714586,76.2168064935243,-714.60925,445.65952,14249.2295,2215.8828,-2.162963,528.1053,4424.748,610.86774
38,493,37,12.2612928015728,76.216781307018,-455.6111,560.35565,15469.893,3073.0144,-361.5685,673.5334,4118.7036,576.7969
39,493,38,12.2611684572856,76.2167561205117,-47.81667,532.1329,17905.46,3579.819,-720.57965,585.4632,4047.185,671.959
40,493,39,12.2610441129985,76.2167309340054,137.86852,597.53265,19972.809,2519.0771,-821.9778,674.87964,4095.187,587.966
41,493,40,12.2609197687113,76.2167057474991,611.58704,1001.2089,21342.898,1908.3025,-345.80185,1116.9204,4384.537,696.09875
42,493,41,12.2607954244241,76.2166805609927,609.25,1001.08374,21225.945,1383.8969,359.1111,1259.9336,4689.0835,611.84875
43,493,42,12.2606710801369,76.2166553744864,504.7852,1004.25775,20625.783,1919.3954,785.9963,1037.3461,4805.789,534.61646
44,493,43,12.2605467358497,76.2166301879801,416.62592,1004.0985,19456.738,1345.0332,830.5722,833.11707,4706.528,364.11865
45,493,44,12.2604223915625,76.2166050014738,405.75186,975.91437,18422.79,1147.0992,657.7389,527.83466,4685.5464,344.90628
46,493,45,12.2602980472753,76.2165798149674,462.9648,1040.5083,18335.94,707.2063,105.81297,1001.11676,4853.2275,430.51294
47,493,46,12.2601737029881,76.2165546284611,-55.23519,855.977,18600.146,1033.2021,-209.8574,1206.8397,4882.337,419.88898
48,493,47,12.2600493587009,76.2165294419547,-479.2611,967.6673,19360.445,770.0027,-591.7889,1079.3678,4730.913,477.4676
49,493,48,12.2599250144137,76.2165042554484,-527.69073,973.11615,19564.91,1376.9296,-622.3426,990.7603,4371.1816,431.8355
50,493,49,12.2598006701265,76.2164790689421,-64.666664,1244.8962,19788.27,1671.859,-777.9389,561.90784,4337.872,528.83
51,493,50,12.2596763258393,76.2164538824357,1223.9185,1684.5415,20590.299,2322.4133,-841.6852,570.4988,4438.715,653.3092
52,493,51,12.2595519815521,76.2164286959294,2667.487,1952.8707,21888.547,2476.649,-499.2463,644.24725,4770.55,694.7873
53,493,52,12.259427637265,76.216403509423,3142.75,1672.3784,23111.62,2119.914,-684.27594,705.24994,5019.1797,570.688
54,493,53,12.2593032929778,76.2163783229167,3059.0925,1632.4656,23974.697,3025.2654,-764.6037,740.71204,5323.8906,530.1388
55,493,54,12.2591789486906,76.2163531364103,2494.515,1152.7965,24621.086,3516.3523,-1106.9093,362.60483,5268.254,473.43896
56,493,55,12.2590546044034,76.216327949904,2268.2166,1092.1495,25076.824,3646.2893,-796.4074,912.899,5051.5405,621.88416
57,493,56,12.2589302601162,76.2163027633976,1392.7241,1501.9592,25301.791,3606.7417,-360.9148,984.0283,4601.9834,495.66037
58,493,57,12.258805915829,76.2162775768913,-255.62593,1928.1094,25835.041,3556.8037,-8.149995,892.15753,4510.3594,444.26703
59,493,58,12.2586815715418,76.2162523903849,-1455.1444,1322.2197,26449.535,3206.5059,83.81667,340.3228,4523.1445,436.33228
60,493,59,12.2585572272546,76.2162272038785,-1923.2185,820.251,25356.291,3162.1956,200.61667,421.4363,4349.841,489.65268
61,493,60,12.2584328829674,76.2162020173722,-1247.8241,1027.6437,21907.877,4581.0728,409.37964,433.90564,4063.2832,469.38678
62,493,61,12.2583085386802,76.2161768308658,-508.54074,907.16766,18034.678,3262.3127,574.09814,271.16168,3644.7222,382.49237
63,493,62,12.258184194393,76.2161516443594,129.71297,419.49002,16510.715,1355.0322,350.7296,406.40857,3568.7,358.31
64,493,63,12.2580598501058,76.2161264578531,297.09445,256.8611,15885.739,1529.6232,242.53703,315.5455,3406.876,353.91885
65,493,64,12.2579355058186,76.2161012713467,161.88704,405.99557,15737.465,1653.2682,-295.71667,757.57605,3211.5962,485.23904
66,493,65,12.2578111615315,76.2160760848403,90.08334,556.8888,13917.324,1426.1111,-669.4667,855.87665,3019.9038,390.10757
67,493,66,12.2576868172443,76.2160508983339,258.11298,723.2551,12628.15,1819.9745,-1230.9556,405.9959,3040.2517,453.55725
68,493,67,12.2575624729571,76.2160257118275,456.8389,747.0468,11532.731,729.4274,-1316.1462,336.67328,3188.5408,420.8209
69,493,68,12.2574381286699,76.2160005253211,641.5518,656.31537,11088.83,593.8436,-1416.6149,295.44833,3247.6648,377.39816
70,493,69,12.2573137843827,76.2159753388148,934.5426,725.67633,11513.985,785.61365,-1491.189,276.9699,3408.0962,419.5045
71,493,70,12.2571894400955,76.2159501523084,1294.0074,588.3844,12313.653,1618.0051,-1367.7686,358.2378,3762.6204,489.01047
72,493,71,12.2570650958083,76.215924965802,1703.2722,304.24057,14565.169,2839.1199,-1065.7167,487.6755,4154.2354,312.88098
73,493,72,12.2569407515211,76.2158997792956,2111.2852,710.0317,16508.963,2515.2463,-445.21667,665.77844,4382.3926,240.262
74,493,73,12.2568164072339,76.2158745927892,1992.3833,873.2576,17212.38,1705.4034,221.4037,811.1501,4350.0073,269.58743
75,493,74,12.2566920629467,76.2158494062828,1645.5834,1028.7798,16548.441,1326.3722,749.88336,566.225,4220.783,343.01
76,493,75,12.2565677186595,76.2158242197764,1205.6426,535.0069,15377.971,868.40686,1017.96295,408.98486,3992.7039,266.95575
77,493,76,12.2564433743723,76.21579903327,939.27405,657.04694,14205.637,1416.4569,725.9537,524.56836,3919.1926,272.56543
78,493,77,12.2563190300852,76.2157738467636,687.6278,829.45056,13299.833,1027.5791,-31.46667,1061.5807,4058.1333,413.67984
79,493,78,12.256194685798,76.2157486602572,261.11298,517.47003,12837.698,603.3076,-383.1537,747.2076,4184.0312,626.31244
80,493,79,12.2560703415108,76.2157234737508,58.62593,376.30545,12704.976,619.86566,-829.0241,790.2902,4400.152,603.3186
81,493,80,12.2559459972236,76.2156982872444,-262.85,528.1751,12444.711,1178.4569,-653.3204,764.83734,4501.5425,640.7292
82,493,81,12.2558216529364,76.215673100738,-400.9037,537.1661,12343.011,1221.5452,-96.346306,1525.1268,4541.211,590.8664
