RVI,Plant_Ht
0.413616725,34
0.536370384,51
0.494094437,61
0.743460197,72
0.52932163,79
0.692031531,88
0.472674186,96
0.703498402,99
0.422285653,33
0.410765889,45
0.460732883,52
0.406724212,58
0.433140019,65
0.37939453,72
0.397783906,79
0.47624266,89
0.405821541,33
0.417171424,47
0.345241735,55
0.439044094,60
0.326244244,67
0.462990695,75
0.430256838,82
0.505051143,91
0.493433829,30
0.354780759,46
0.354780759,55
0.533519079,62
0.381646557,71
0.275762598,78
0.334608049,88
0.369309072,92
0.414083806,31
0.380531325,45
0.321871628,51
0.364031397,58
0.309250842,66
0.336721615,75
0.315008897,83
0.3218521,94
0.355435888,31
0.505535186,47
0.424775569,55
0.505535186,63
0.519290306,71
0.421404379,79
0.463905,87
0.338874074,90
