FIELD_LAI,LAI
2.312,3.584806124
4.736,4.610598094
4.149,4.291088736
5.397,4.9129975
4.31,4.66570365
5.12,4.9129975
4.325,4.291088736
5.04,4.9129975
3.38,4.205854926
2.312,3.584806124
4.736,4.610598094
4.149,4.291088736
5.397,4.9129975
4.31,4.66570365
5.12,4.9129975
4.325,4.291088736
5.04,4.9129975
3.38,4.205854926
3.7,3.749282592
4.85,4.610598094
4.17,3.749282592
3.44,3.174415481
4.33,3.749282592
3.9,3.749282592
2.22,3.504629894
2.7,3.221166667
4.39,3.887
4.01,2.7368
4.8,4.593233333
3.96,3.9865
4.09,3.763266667
4.14,4.0031
1.84,3.04532967
2.995,3.502552
3.7,3.749282592
4.43,4.205854926
3.58,3.749282592
4.02,4.205854926
4.35,4.205854926
4.615,4.478237601
3.5,4.291088736
3.71,3.7124435
4.44,4.478237601
5.66,4.66570365
4.45,3.722597394
5.36,4.291088736
3.85,3.749282592
3.71,3.174415481
