RVI,FIELD_LAI,LAI
0.413616725,2.312,3.584806124
0.536370384,4.736,4.610598094
0.494094437,4.149,4.291088736
0.743460197,5.397,4.9129975
0.52932163,4.31,4.66570365
0.692031531,5.12,4.9129975
0.472674186,4.325,4.291088736
0.703498402,5.04,4.9129975
0.445275052,3.38,4.205854926
0.413616725,2.312,3.584806124
0.536370384,4.736,4.610598094
0.494094437,4.149,4.291088736
0.743460197,5.397,4.9129975
0.52932163,4.31,4.66570365
0.692031531,5.12,4.9129975
0.472674186,4.325,4.291088736
0.703498402,5.04,4.9129975
0.445275052,3.38,4.205854926
0.354780759,3.7,3.749282592
0.533519079,4.85,4.610598094
0.381646557,4.17,3.749282592
0.275762598,3.44,3.174415481
0.334608049,4.33,3.749282592
0.369309072,3.9,3.749282592
0.309537448,2.22,3.504629894
0.321871628,2.7,3.221166667
0.364031397,4.39,3.887
0.309250842,4.01,2.7368
0.336721615,4.8,4.593233333
0.315008897,3.96,3.9865
0.3218521,4.09,3.763266667
0.320363025,4.14,4.0031
0.405821541,1.84,3.04532967
0.417171424,2.995,3.502552
0.345241735,3.7,3.749282592
0.439044094,4.43,4.205854926
0.326244244,3.58,3.749282592
0.462990695,4.02,4.205854926
0.430256838,4.35,4.205854926
0.505051143,4.615,4.478237601
0.480636776,3.5,4.291088736
0.424775569,3.710000,3.7124435
0.505535186,4.440000,4.478237601
0.519290306,5.660000,4.66570365
0.421404379,4.450000,3.722597394
0.463905,5.360000,4.291088736
0.338874074,3.850000,3.749282592
0.299681965,3.710000,3.174415481
