RVI,Plant_Ht
0.413616725,32
0.536370384,44
0.494094437,53
0.743460197,64
0.52932163,74
0.692031531,86
0.472674186,92
0.703498402,96
0.422285653,33
0.410765889,47
0.460732883,55
0.406724212,60
0.433140019,67
0.37939453,75
0.397783906,82
0.47624266,91
0.405821541,33
0.417171424,45
0.345241735,52
0.439044094,58
0.326244244,65
0.462990695,72
0.430256838,79
0.505051143,89
0.493433829,31
0.354780759,45
0.354780759,51
0.533519079,58
0.381646557,66
0.275762598,75
0.334608049,83
0.369309072,94
0.189244296,34
0.408835505,51
0.321871628,61
0.364031397,72
0.309250842,79
0.336721615,88
0.315008897,96
0.3218521,99
0.333488311,30
0.505535186,46
0.424775569,55
0.505535186,62
0.519290306,71
0.421404379,78
0.463905,88
0.338874074,92
