RVI,LAI
0.413616725,1.89
0.536370384,3.945
0.494094437,3.315
0.743460197,4.675
0.52932163,4.31
0.692031531,4.72
0.472674186,4.325
0.703498402,4.040000
0.445275052,3
0.422285653,2.115
0.410765889,1.97
0.460732883,3.74
0.406724212,4.21
0.433140019,4.7
0.37939453,4.24
0.397783906,4.47
0.47624266,4.170000
0.506865237,3.5
0.405821541,1.84
0.417171424,2.995
0.345241735,3.7
0.439044094,4.43
0.326244244,3.58
0.462990695,4.02
0.430256838,4.35
0.505051143,4.615
0.480636776,3.5
0.354780759,0.920000
0.533519079,3.350000
0.381646557,4.170000
0.275762598,3.840000
0.334608049,4.730000
0.369309072,4.62
0.309537448,4.010000
0.321871628,2.700000
0.364031397,3.900000
0.309250842,5.220000
0.336721615,5.800000
0.315008897,4.960000
0.3218521,5.090000
0.320363025,4.540000
0.424775569,3.710000
0.505535186,4.440000
0.519290306,5.660000
0.421404379,4.450000
0.463905,5.360000
0.338874074,3.850000
0.299681965,3.710000
0.405821541,1.84
0.417171424,2.995
0.424775569,3.71
0.345241735,3.7
0.505535186,4.44
0.439044094,4.43
0.519290306,5.66
0.326244244,3.58
0.421404379,4.45
0.462990695,4.02
0.463905,5.36
0.430256838,4.35
0.338874074,3.85
0.505051143,4.615
0.299681965,3.71
0.480636776,3.5
