kimvan-rvi,LAI
0.557321993,2.312
0.629353695,4.736
0.858564077,4.149
0.428857558,5.397
1.087333976,4.31
0.830064921,5.12
1.163624219,4.325
0.596655471,5.04
0.402671783,3.38
0.590090983,3.115
0.721349861,2.97
0.614969829,3.74
0.45862204,4.21
0.912852572,4.7
0.923708116,4.24
1.137576495,4.47
0.575943758,4.17
0.339888974,4.5
0.422527838,1.84
0.755143208,2.995
0.798581873,3.7
0.687686157,4.43
1.210870881,3.58
0.834674664,4.02
1.001264085,4.35
0.678132763,4.615
0.397634073,3.5
0.453691442,3.7
0.412352345,4.85
0.855509589,4.17
1.063359477,3.44
0.539945485,4.33
0.482292269,3.9
0.654438074,2.22
0.497961096,2.7
0.471553296,4.39
1.00766521,4.01
0.94858276,4.8
0.913806682,3.96
1.085239601,4.09
0.658341715,4.14
0.544903034,3.710000
0.754024644,4.440000
1.0097678,5.660000
1.074411663,4.450000
1.192508661,5.360000
0.760353413,3.850000
0.775277501,3.710000
